step,loss,gradient_norm,update_norm,accepted
1,0.026241622913402696,0.06341561210138237,0.55882754337419,1
2,0.023335485973921162,0.0018000032262094187,0.4071911695335902,1
3,0.023413745659793813,0.0,0.3146237488531198,1
4,0.023413745659793813,0.0,0.2576273843956935,1
5,0.023413745659793813,0.0,0.21768495281219777,1
6,0.023413745659793813,0.0,0.1875628980352719,1
7,0.023413745659793813,0.0,0.1637568349049186,1
8,0.023413745659793813,0.0,0.1443267024682896,1
9,0.023413745659793813,0.0,0.12809513452526072,1
10,0.023413745659793813,0.0,0.1142977063759051,1
11,0.023413745659793813,0.0,0.10241163326440386,1
12,0.023413745659793813,0.0,0.09206429326075108,1
13,0.023413745659793813,0.0,0.08298097372704392,1
14,0.023413745659793813,0.0,0.07495336484796565,1
15,0.023413745659793813,0.0,0.06781969986767138,1
16,0.023413745659793813,0.0,0.06145176257903849,1
17,0.023413745659793813,0.0,0.05574611461739278,1
18,0.023413745659793813,0.0,0.05061800864644303,1
19,0.023413745659793813,0.0,0.0,1
