step,loss,gradient_norm,update_norm,accepted
0,0.02379380632794093,nan,0.0,1
1,0.02379380632794093,nan,0.0,0
2,0.023744895545853788,nan,0.16497679730640757,1
3,0.023429909730993796,nan,0.18249308076790624,1
4,0.023429909730993796,nan,0.0,0
5,0.02342597864942666,nan,0.16425816061775347,1
6,0.023413745659793813,nan,0.17841512947331034,1
7,0.023413745659793813,nan,0.10301625492793356,1
8,0.023413745659793813,nan,0.11640166326945184,1
9,0.023413745659793813,nan,0.12041617656680495,1
10,0.023413745659793813,nan,0.13958777614854853,1
11,0.023413745659793813,nan,0.11256605711853288,1
12,0.023413745659793813,nan,0.10837981846522174,1
13,0.023413745659793813,nan,0.11606324187492487,1
14,0.023413745659793813,nan,0.08414282780956027,1
15,0.023413745659793813,nan,0.08026384669817725,1
16,0.023413745659793813,nan,0.06790708283187158,1
17,0.023413745659793813,nan,0.06627199661121479,1
18,0.023413745659793813,nan,0.047578740716599933,1
19,0.023413745659793813,nan,0.042706694004175594,1
20,0.023413745659793813,nan,0.04917519155120484,1
21,0.023413745659793813,nan,0.03548763734147077,1
22,0.023413745659793813,nan,0.01917268650127657,1
23,0.023413745659793813,nan,0.018089476811437282,1
24,0.023413745659793813,nan,0.01202720129984244,1
