step,loss,gradient_norm,update_norm,accepted
0,0.02379380632794093,0.006792260228522526,0.0,1
1,0.023766696497150887,0.006518097706339634,0.004075356137113525,1
2,0.02348102513076289,0.002880512641376143,0.06184295630916235,1
3,0.023415701352746867,0.0011180121976066058,0.033420824756478666,1
4,0.023413745659793813,0.0,0.01387564207755453,1
5,0.023413745659793813,0.0,0.0,1
6,0.023413745659793813,0.0,0.0,1
7,0.023413745659793813,0.0,0.0,1
8,0.023413745659793813,0.0,0.0,1
9,0.023413745659793813,0.0,0.0,1
10,0.023413745659793813,0.0,0.0,1
