step,loss,gradient_norm,update_norm,accepted
1,0.023936971768364977,0.020271395894996283,0.5584393186481715,1
2,0.023413745498099634,0.004063153060778023,0.37218079638377327,1
3,0.023413745659793813,0.0,0.2874829554272786,1
4,0.023413745659793813,0.0,0.2353472521364452,1
5,0.023413745659793813,0.0,0.198820620930603,1
6,0.023413745659793813,0.0,0.17128099277799946,1
7,0.023413745659793813,0.0,0.14952047311781202,1
8,0.023413745659793813,0.0,0.13176328317688574,1
9,0.023413745659793813,0.0,0.11693184456134176,1
10,0.023413745659793813,0.0,0.10432658226405976,1
11,0.023413745659793813,0.0,0.09346910518423385,1
12,0.023413745659793813,0.0,0.08401846584181623,1
13,0.023413745659793813,0.0,0.0757233281130236,1
14,0.023413745659793813,0.0,0.06839312768477324,1
15,0.023413745659793813,0.0,0.06187989404848693,1
16,0.023413745659793813,0.0,0.0560663586637032,1
17,0.023413745659793813,0.0,0.050857925740015,1
18,0.023413745659793813,0.0,0.046177101486779344,1
19,0.023413745659793813,0.0,0.0,1
