step,loss,gradient_norm,update_norm,accepted
0,0.026241622913402696,0.06341561210138237,0.0,1
1,0.024282581934898115,0.037602576261329616,0.03804936726082942,1
2,0.023453070149576174,0.012307878083666852,0.03329600207705298,1
3,0.023369678682387807,0.004920044641730016,0.009727333773058677,1
4,0.023356445148232208,0.001969396969901884,0.003886269184017635,1
5,0.023354357915621765,0.0007907366434131256,0.0015562324579146886,1
6,0.023354031766796336,0.00032216870846128406,0.0006301147686924697,1
7,0.02335397891131783,0.00014134968410512162,0.00027302804753153164,1
8,0.02335396631008846,8.221733945552783e-05,0.00015921624392147617,1
9,0.02335395726587819,8.226536113779129e-05,0.0001765094259760357,1
10,0.023353941491779363,0.00012767790586279298,0.00034685203002406785,1
