step,loss,gradient_norm,update_norm,accepted
1,0.0063813711199884665,0.03110214436910566,0.5585740979634586,1
2,0.004642585262182325,0.005010494824084644,0.41709025467186933,1
3,0.00456236669103612,0.0,0.3222890753013483,1
4,0.00456236669103612,0.0,0.26391561366274624,1
5,0.00456236669103612,0.0,0.2230068809635926,1
6,0.00456236669103612,0.0,0.19215514990096558,1
7,0.00456236669103612,0.0,0.16777165641583588,1
8,0.00456236669103612,0.0,0.14786962630752742,1
9,0.00456236669103612,0.0,0.131243343791116,1
10,0.00456236669103612,0.0,0.11710997682853858,1
11,0.00456236669103612,0.0,0.10493415100018769,1
12,0.00456236669103612,0.0,0.09433426985018277,1
13,0.00456236669103612,0.0,0.08502900324595232,1
14,0.00456236669103612,0.0,0.07680502234830132,1
15,0.00456236669103612,0.0,0.06949666171421848,1
16,0.00456236669103612,0.0,0.06297261399850705,1
17,0.00456236669103612,0.0,0.05712694606129925,1
18,0.00456236669103612,0.0,0.05187286563590023,1
19,0.00456236669103612,0.0,0.0,1
