step,loss,gradient_norm,update_norm,accepted
0,0.005723655034146963,nan,0.0,1
1,0.005670570517947499,nan,0.2050609776291678,1
2,0.005550401830492965,nan,0.1845521364327447,1
3,0.00478718899231247,nan,0.22421315999824545,1
4,0.004720481564267498,nan,0.12959770093235978,1
5,0.004720481564267498,nan,0.0,0
6,0.004720481564267498,nan,0.0,0
7,0.004720481564267498,nan,0.0,0
8,0.004720481564267498,nan,0.0,0
9,0.004720481564267498,nan,0.0,0
10,0.004720481564267498,nan,0.0,0
11,0.004641502677644776,nan,0.10856826816793015,1
12,0.004641502677644776,nan,0.0,0
13,0.004641502677644776,nan,0.0,0
14,0.00456236669103612,nan,0.07652180761649578,1
15,0.00456236669103612,nan,0.06769171161739664,1
16,0.00456236669103612,nan,0.06834015557409087,1
17,0.00456236669103612,nan,0.06348262106918627,1
18,0.00456236669103612,nan,0.0,0
19,0.00456236669103612,nan,0.0,0
20,0.00456236669103612,nan,0.05057764773908757,1
21,0.00456236669103612,nan,0.03217002619975539,1
22,0.00456236669103612,nan,0.0,0
23,0.00456236669103612,nan,0.017188771234261557,1
24,0.00456236669103612,nan,0.008875001847558716,1
