step,loss,gradient_norm,update_norm,accepted
0,0.005723655034146963,0.018987204243958646,0.0,1
1,0.005517649413298577,0.01720210580223341,0.011392322546375186,1
2,0.004675914782799495,0.007261966788608457,0.06958294291279093,1
3,0.00456236669103612,0.0,0.03357149356822237,1
4,0.00456236669103612,0.0,0.0,1
5,0.00456236669103612,0.0,0.0,1
6,0.00456236669103612,0.0,0.0,1
7,0.00456236669103612,0.0,0.0,1
8,0.00456236669103612,0.0,0.0,1
9,0.00456236669103612,0.0,0.0,1
10,0.00456236669103612,0.0,0.0,1
