step,loss,gradient_norm,update_norm,accepted
0,0.01330872703734576,nan,0.0,1
1,0.012473361719343727,nan,0.28630078965472106,1
2,0.012473361719343727,nan,0.0,0
3,0.01240257170768502,nan,0.20607944524688646,1
4,0.01240257170768502,nan,0.0,0
5,0.01233264710566702,nan,0.21028844166678368,1
6,0.01233264710566702,nan,0.0,0
7,0.012174505656251848,nan,0.21896274333773127,1
8,0.012174505656251848,nan,0.0,0
9,0.012174505656251848,nan,0.0,0
10,0.012003012132497007,nan,0.15825910317309766,1
11,0.012003012132497007,nan,0.15394939361968413,1
12,0.012003012132497007,nan,0.12758492498320811,1
13,0.012003012132497007,nan,0.11505534680826618,1
14,0.012003012132497007,nan,0.11115960689302973,1
15,0.012003012132497007,nan,0.10753911753511677,1
16,0.012003012132497007,nan,0.09417525145014828,1
17,0.012003012132497007,nan,0.07971538219254373,1
18,0.012003012132497007,nan,0.07245073833411435,1
19,0.012003012132497007,nan,0.06061199066671208,1
20,0.012003012132497007,nan,0.05856658685236081,1
21,0.012003012132497007,nan,0.03789631602241398,1
22,0.012003012132497007,nan,0.030560458671425463,1
23,0.012003012132497007,nan,0.021797290122858314,1
24,0.012003012132497007,nan,0.010257536132934461,1
