step,loss,gradient_norm,update_norm,accepted
1,0.01330872703734576,0.023955446974065556,0.5589620182591216,1
2,0.011989905561013292,0.0005188520443932301,0.41849932301086945,1
3,0.012003012132497007,0.0,0.3233344728826522,1
4,0.012003012132497007,0.0,0.2647417321035723,1
5,0.012003012132497007,0.0,0.22368267604366954,1
6,0.012003012132497007,0.0,0.1927201154040747,1
7,0.012003012132497007,0.0,0.16825101794467182,1
8,0.012003012132497007,0.0,0.1482807149444543,1
9,0.012003012132497007,0.0,0.13159870383928415,1
10,0.012003012132497007,0.0,0.11741904866065098,1
11,0.012003012132497007,0.0,0.10520425602801821,1
12,0.012003012132497007,0.0,0.09457122280475692,1
13,0.012003012132497007,0.0,0.0852375115500776,1
14,0.012003012132497007,0.0,0.07698895709269885,1
15,0.012003012132497007,0.0,0.06965924767681377,1
16,0.012003012132497007,0.0,0.06311656667768727,1
17,0.012003012132497007,0.0,0.057254572910496404,1
18,0.012003012132497007,0.0,0.051986142439531036,1
19,0.012003012132497007,0.0,0.0,1
