step,loss,gradient_norm,update_norm,accepted
0,0.01311681531383143,nan,0.0,1
1,0.012131256416109458,nan,0.21364103435971146,1
2,0.012131256416109458,nan,0.0,0
3,0.012003012132497007,nan,0.15667933039245074,1
4,0.012003012132497007,nan,0.1574136189725376,1
5,0.012003012132497007,nan,0.14875217880571456,1
6,0.012003012132497007,nan,0.19805341928478634,1
7,0.012003012132497007,nan,0.11323573629741521,1
8,0.012003012132497007,nan,0.09871771409064035,1
9,0.012003012132497007,nan,0.12320076398081924,1
10,0.012003012132497007,nan,0.10742011651051071,1
11,0.012003012132497007,nan,0.0880626594974358,1
12,0.012003012132497007,nan,0.0,0
13,0.012003012132497007,nan,0.08084059395197143,1
14,0.012003012132497007,nan,0.08668698191634491,1
15,0.012003012132497007,nan,0.08162503972172307,1
16,0.012003012132497007,nan,0.0,0
17,0.012003012132497007,nan,0.06268391161023033,1
18,0.012003012132497007,nan,0.06775202299941613,1
19,0.012003012132497007,nan,0.05717266348948925,1
20,0.012003012132497007,nan,0.04628452364659425,1
21,0.012003012132497007,nan,0.03609423124388514,1
22,0.012003012132497007,nan,0.02129919603505228,1
23,0.012003012132497007,nan,0.015725580452287592,1
24,0.012003012132497007,nan,0.009569052393530704,1
