step,loss,gradient_norm,update_norm,accepted
1,0.012426553515005089,0.008983276651565302,0.4521643718542199,1
2,0.012003012057443982,0.0008273121209459779,0.3019011474636705,1
3,0.012003012132497007,0.0,0.2333076398674125,1
4,0.012003012132497007,0.0,0.1910681354896634,1
5,0.012003012132497007,0.0,0.1614639672289724,1
6,0.012003012132497007,0.0,0.13913601973316167,1
7,0.012003012132497007,0.0,0.12148798390674571,1
8,0.012003012132497007,0.0,0.10708250529546907,1
9,0.012003012132497007,0.0,0.0950472859952542,1
10,0.012003012132497007,0.0,0.0848159644733627,1
11,0.012003012132497007,0.0,0.07600120378038813,1
12,0.012003012132497007,0.0,0.06832691893286368,1
13,0.012003012132497007,0.0,0.061589563765157763,1
14,0.012003012132497007,0.0,0.05563478863888333,1
15,0.012003012132497007,0.0,0.050342726857362324,1
16,0.012003012132497007,0.0,0.045618368839195816,1
17,0.012003012132497007,0.0,0.04138506263650354,1
18,0.012003012132497007,0.0,0.0375800043658566,1
19,0.012003012132497007,0.0,0.0,1
