step,loss,gradient_norm,update_norm,accepted
1,0.01311681531383143,0.01935601393073296,0.45211110948541094,1
2,0.0120653906631376,0.004137784573231252,0.33347473770934527,1
3,0.012003012132497007,0.0,0.2576880797221245,1
4,0.012003012132497007,0.0,0.21102134772396608,1
5,0.012003012132497007,0.0,0.17831589324521863,1
6,0.012003012132497007,0.0,0.15365009534689947,1
7,0.012003012132497007,0.0,0.1341551384474314,1
8,0.012003012132497007,0.0,0.11824281017169914,1
9,0.012003012132497007,0.0,0.10494926458206826,1
10,0.012003012132497007,0.0,0.0936487036642697,1
11,0.012003012132497007,0.0,0.08391314448380964,1
12,0.012003012132497007,0.0,0.07543753301159091,1
13,0.012003012132497007,0.0,0.0679969675962211,1
14,0.012003012132497007,0.0,0.061420906654603535,1
15,0.012003012132497007,0.0,0.05557691074804,1
16,0.012003012132497007,0.0,0.05036000643061289,1
17,0.012003012132497007,0.0,0.045685504581773236,1
18,0.012003012132497007,0.0,0.041484017510239876,1
19,0.012003012132497007,0.0,0.0,1
