step,loss,gradient_norm,update_norm,accepted
1,0.00669884246954757,0.006170358740538746,0.45213998813786355,1
2,0.006440512392246817,0.00016560866436128647,0.31450168930211786,1
3,0.006444099389164447,0.0,0.24305281530059072,1
4,0.006444099389164447,0.0,0.19905417790604027,1
5,0.006444099389164447,0.0,0.16821651064279397,1
6,0.006444099389164447,0.0,0.1449577953983559,1
7,0.006444099389164447,0.0,0.12657373318293813,1
8,0.006444099389164447,0.0,0.1115671838643679,1
9,0.006444099389164447,0.0,0.09902956615848287,1
10,0.006444099389164447,0.0,0.08837095988515441,1
11,0.006444099389164447,0.0,0.07918791554299182,1
12,0.006444099389164447,0.0,0.07119286282761084,1
13,0.006444099389164447,0.0,0.0641737872907069,1
14,0.006444099389164447,0.0,0.05796991717847386,1
15,0.006444099389164447,0.0,0.05245639787045358,1
16,0.006444099389164447,0.0,0.047534265693962095,1
17,0.006444099389164447,0.0,0.04312367811817909,1
18,0.006444099389164447,0.0,0.039159216627974565,1
19,0.006444099389164447,0.0,0.0,1
