step,loss,gradient_norm,update_norm,accepted
1,0.006582634313247736,0.0041060458352841275,0.452129041728541,1
2,0.006444099152362726,0.0011965375733025473,0.30004971181958145,1
3,0.006444099389164447,0.0,0.2318704194862816,1
4,0.006444099389164447,0.0,0.1898867044915903,1
5,0.006444099389164447,0.0,0.16046232126663346,1
6,0.006444099389164447,0.0,0.13827035468470858,1
7,0.006444099389164447,0.0,0.12073009724387584,1
8,0.006444099389164447,0.0,0.10641283297504761,1
9,0.006444099389164447,0.0,0.09445150745073753,1
10,0.006444099389164447,0.0,0.08428316443045246,1
11,0.006444099389164447,0.0,0.07552279659476674,1
12,0.006444099389164447,0.0,0.06789598013455611,1
13,0.006444099389164447,0.0,0.06120039421165026,1
14,0.006444099389164447,0.0,0.05528261892168269,1
15,0.006444099389164447,0.0,0.05002351011520645,1
16,0.006444099389164447,0.0,0.04532863140656197,1
17,0.006444099389164447,0.0,0.041121793741361046,1
18,0.006444099389164447,0.0,0.03734057291914986,1
19,0.006444099389164447,0.0,0.0,1
