step,loss,gradient_norm,update_norm,accepted
0,0.008485981032218964,0.04295210437127562,0.0,1
1,0.007529759020652619,0.031312572684727924,0.025771262622765374,1
2,0.006615634055373774,0.01258881388865516,0.04170977142641884,1
3,0.0064674469907268,0.005028093822839495,0.016883859332635524,1
4,0.006443898872199607,0.0020069244024934984,0.006747395094929008,1
5,0.0064401861894412896,0.0008021287877002252,0.0026907727041555938,1
6,0.006439607476537396,0.000321162936311389,0.0010752103523590131,1
7,0.006439520046528089,0.00012937360350580055,0.0004319477087774473,1
8,0.006439507678366515,5.3810061332571286e-05,0.0001786141174097122,1
9,0.006439505968736062,2.6103062059345517e-05,8.596026810053785e-05,1
10,0.006439505435541562,1.963744698252072e-05,6.686991812591887e-05,1
