step,loss,gradient_norm,update_norm,accepted
0,0.00669884246954757,0.006170358740538746,0.0,1
1,0.00667654426397488,0.0058829624068534765,0.0037022152443232452,1
2,0.00648149358985989,0.0024780785610709574,0.04715192731227335,1
3,0.006444112226160089,0.0009717653479272352,0.022048816081086702,1
4,0.006438289700980658,0.00036982570030533315,0.00891698597962473,1
5,0.00643742850890215,0.00014780056107868776,0.003465293502656484,1
6,0.00643726406423074,7.11039168008523e-05,0.001612978418731827,1
7,0.00643719584804684,5.677211884905455e-05,0.0012388773551399517,1
8,0.006437113968777394,7.75118273831707e-05,0.0019401645635371658,1
9,0.006436954197699752,0.00013127907195089418,0.004291494557809782,1
10,0.006436617577615369,0.00022455666401962528,0.009755898911525786,1
